game_id,season,week,home_team,away_team,home_score,away_score,spread_close,total_close,home_prior_epa_sum,home_prior_plays,home_prior_epa_mean,home_rest_days,away_prior_epa_sum,away_prior_plays,away_prior_epa_mean,away_rest_days,epa_diff_prior,plays_diff_prior,rest_diff,home_margin,home_cover,is_push
2010_05_NO_ARI,2010,5,ARI,NO,30,20,-6.5,45.5,-742.0581952153606,15481.0,-0.047933479440304926,7.0,86.43825121321852,16068.0,0.005379527708066874,7.0,-0.0533130071483718,-587.0,0.0,10,1.0,False
2010_08_TB_ARI,2010,8,ARI,TB,35,38,3.0,38.0,-765.1336021351899,15629.0,-0.04895601779609635,7.0,-834.937634347787,15788.0,-0.05288431937850184,7.0,0.003928301582405487,-159.0,0.0,-3,,True
2010_10_SEA_ARI,2010,10,ARI,SEA,18,36,3.5,41.0,-773.3928546527691,15790.0,-0.048979914797515456,7.0,56.98171707781003,16232.0,0.0035104557095742995,7.0,-0.052490370507089754,-442.0,0.0,-18,0.0,False
2010_12_SF_ARI,2010,12,ARI,SF,6,27,-1.0,41.5,-793.1850414378864,15969.0,-0.049670301298634006,8.0,-407.7253379721212,15565.0,-0.026195010470422178,8.0,-0.02347529082821183,404.0,0.0,-21,0.0,False
2010_13_STL_ARI,2010,13,ARI,STL,6,19,-3.0,43.5,-814.0869533695227,16032.0,-0.0507788768319313,6.0,0.0,0.0,0.0,7.0,-0.0507788768319313,16032.0,-1.0,-13,0.0,False
2010_14_DEN_ARI,2010,14,ARI,DEN,43,13,-4.0,44.5,-831.9516819729183,16103.0,-0.05166439060876348,7.0,370.3632525059451,16524.0,0.02241365604611142,7.0,-0.0740780466548749,-421.0,0.0,30,1.0,False
2010_16_DAL_ARI,2010,16,ARI,DAL,27,26,-7.0,45.0,-843.6042022180337,16275.0,-0.05183435958328932,6.0,-261.40229261244895,16330.0,-0.016007488831135883,6.0,-0.03582687075215344,-55.0,0.0,1,0.0,False
2011_01_CAR_ARI,2011,1,ARI,CAR,28,21,6.5,37.5,-874.4022313068119,16447.0,-0.05316484655601702,252.0,-603.8398536064243,16398.0,-0.03682399399965998,252.0,-0.01634085255635704,49.0,0.0,7,1.0,False
2011_04_NYG_ARI,2011,4,ARI,NYG,27,31,-1.0,45.5,-872.6660366478718,16676.0,-0.052330657030934986,7.0,-54.288694541653754,17609.0,-0.0030830083787639134,7.0,-0.04924764865217107,-933.0,0.0,-4,0.0,False
2011_07_PIT_ARI,2011,7,ARI,PIT,20,32,-4.0,46.0,-902.1656032781261,16864.0,-0.05349653719628357,14.0,284.34270825567006,18070.0,0.015735623035731602,7.0,-0.06923216023201517,-1206.0,7.0,-12,0.0,False
