game_id,season,week,spread_close,total_close,home_score,away_score,home_epa_mean,away_epa_mean,epa_gap,market_prob,p_hat,edge,action,r,b_prob,pi_prob
2022_11_TEN_GB,2022,11,3.0,40.5,17,27,,,0.0,0.6148543979079913,0.6012187140471523,-0.01363568386083902,0,-0.0,0.5146057728181526,0.5227556434245746
2022_11_CHI_ATL,2022,11,3.0,48.5,27,24,,,0.0,0.5660893345487693,0.58753913894835,0.021449804399580663,1,0.9099999999999999,0.5671679550756258,0.5927946492802246
2022_11_CAR_BAL,2022,11,13.0,42.0,13,3,,,0.0,0.8392998896396833,0.8642843018090047,0.024984412169321457,0,0.0,0.05,0.05
2022_11_CLE_BUF,2022,11,7.5,50.5,31,23,,,0.0,0.7561815774459886,0.7296328338554122,-0.02654874359057635,0,0.0,0.49539553311701645,0.49710121657311496
2022_11_WAS_HOU,2022,11,-3.0,41.0,10,23,,,0.0,0.41493775933609955,0.3860703214347474,-0.028867437901352155,0,-0.0,0.49196163683051414,0.4925203611319094
2022_11_PHI_IND,2022,11,-6.5,45.5,16,17,,,0.0,0.290309925460965,0.2681986592434152,-0.02211126621754983,0,-0.0,0.5019815491439981,0.5058924185833785
2022_11_NYJ_NE,2022,11,3.5,38.5,10,3,,,0.0,0.629269318749507,0.621825405435305,-0.007443913314202022,0,0.0,0.5238579899383233,0.5351165716088856
2022_11_LA_NO,2022,11,2.5,39.5,27,20,,,0.0,0.5399277029247453,0.585420835589131,0.045493132664385705,1,0.9099999999999999,0.6030393992125552,0.6399950855781124
2022_11_DET_NYG,2022,11,3.0,44.0,18,31,,,0.0,0.5986798270759409,0.5952519815117446,-0.0034278455641962857,0,-0.0,0.5298691196939562,0.5431447384671905
2022_11_LV_DEN,2022,11,2.5,41.5,16,22,,,0.0,0.5775497887748944,0.581973719623735,0.004423930848840629,1,-1.0,0.5416366763698115,0.5588469382775914
2022_11_DAL_MIN,2022,11,-1.5,48.5,3,40,,,0.0,0.4471717836540323,0.42571798418985524,-0.02145379946417708,0,-0.0,0.5029588373186891,0.5071974191333469
2022_11_CIN_PIT,2022,11,-3.5,39.0,30,37,,,0.0,0.3707306812504931,0.3723270782239877,0.0015963969734946182,1,-1.0,0.5373972653830302,0.5531927505515262
2022_11_KC_LAC,2022,11,-5.5,52.5,27,30,,,0.0,0.32106932575441594,0.28735011104276853,-0.033719214711647405,0,-0.0,0.4847946444726355,0.48296755798058766
2022_11_SF_ARI,2022,11,-10.0,43.5,10,38,,,0.0,0.21561338289962823,0.18278423187288234,-0.032829151026745884,0,-0.0,0.05,0.05
2022_12_BUF_DET,2022,12,-10.0,54.0,25,28,,,0.0,0.21945616020299694,0.17192100846150957,-0.04753515174148737,0,-0.0,0.05,0.05
2022_12_NYG_DAL,2022,12,10.5,45.5,28,20,,,0.0,0.7905398342128594,0.8120911563015449,0.021551322088685487,0,0.0,0.05,0.05
2022_12_NE_MIN,2022,12,2.5,42.5,33,26,,,0.0,0.562379468921525,0.5802471317722764,0.017867662850751365,1,0.9099999999999999,0.5617993032226903,0.5856746037755637
2022_12_DEN_CAR,2022,12,-1.0,36.5,23,10,,,0.0,0.47598060819744376,0.46464519756705647,-0.011335410630387288,0,0.0,0.5180405159861569,0.527344702019736
2022_12_TB_CLE,2022,12,-3.0,42.0,23,17,,,0.0,0.38806099337843886,0.38439049904338435,-0.0036704943350545083,0,0.0,0.529505747255614,0.542659538760042
2022_12_BAL_JAX,2022,12,-3.5,43.0,28,27,,,0.0,0.3945716506247384,0.36572091025267034,-0.028850740372068084,0,-0.0,0.4919863457991766,0.49255331510653105
2022_12_HOU_MIA,2022,12,14.0,47.0,30,15,,,0.0,0.8640691389767738,0.8766430574588331,0.012573918482059243,0,0.0,0.05,0.05
2022_12_CHI_NYJ,2022,12,8.5,36.5,31,10,,,0.0,0.7661538461538462,0.7750773202967506,0.008923474142904397,0,0.0,0.05,0.05
